"location_id","year_id","age_group_id","sex_id","gpr_v","gpr_l","gpr_u","st","cv_custom_stage_1","seq","data_val","variance","nid","sample_size","data_lower","data_upper","is_outlier","level","super_region_id","super_region_name","region_name","ihme_loc_id","location_name_short","pathogen","abx_class","frac_oop_hexp","hospital_beds_per1000","maternal_educ_yrs_pc","pharmacists_pc","PCV3_coverage_prop_covid_free","lagged_pcv3_coverage_prop_covid_free","PCV3_coverage_prop_covid_inclusive","lagged_pcv3_coverage_prop_covid_inclusive"
1,1990,22,3,0.2191483696,0.1540372343,0.3157286825,0.544622963945573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.755742897586445,NA,NA,-0.498221409964987,NA,NA,NA,NA
1,1991,22,3,0.2189506621,0.1558683071,0.3057845376,0.544012628577158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.770942493988456,NA,NA,-0.487743857743245,NA,NA,NA,NA
1,1992,22,3,0.2231624597,0.1618127215,0.2998119643,0.544258002030856,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.784147425652093,NA,NA,-0.475555753708495,NA,NA,NA,NA
1,1993,22,3,0.2328239589,0.1735921978,0.3022354711,0.545140726055397,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.797051312911374,NA,NA,-0.463757725574218,NA,NA,NA,NA
1,1994,22,3,0.2475463539,0.1909176494,0.3134893497,0.547181126874157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.803196283040967,NA,NA,-0.451775786272381,NA,NA,NA,NA
1,1995,22,3,0.2516064908,0.2003224862,0.3130927654,0.54755328818199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.818687234948134,NA,NA,-0.43883006437317,NA,NA,NA,NA
1,1996,22,3,0.2912506265,0.2404292015,0.3511910923,0.554313758560053,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.807873621767667,NA,NA,-0.426569883360835,NA,NA,NA,NA
1,1997,22,3,0.3059781817,0.2572414664,0.3624448679,0.556864115198014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.791195567514535,NA,NA,-0.416363133076541,NA,NA,NA,NA
1,1998,22,3,0.3117877312,0.2637717715,0.3669284982,0.557343118065573,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.779728734203767,NA,NA,-0.407310283827688,NA,NA,NA,NA
1,1999,22,3,0.3085892014,0.2593176623,0.360781668,0.555954888149691,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.768556474264075,NA,NA,-0.398744093235207,NA,NA,NA,NA
1,2000,22,3,0.3038233628,0.2548361683,0.3522386895,0.554222120280812,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.765151444573581,NA,NA,-0.389905561396588,NA,NA,NA,NA
1,2001,22,3,0.2939094934,0.2447599152,0.3448517193,0.551507589929228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Global","","G","Earth","streptococcus_pneumoniae","penicillin",-0.770624527070209,NA,NA,-0.380734383975102,NA,NA,NA,NA
