"location_id","ihmelocid","locid","year_id","source","nid","super_region_id","region_id","age_group_id","sex_id","measure_id","measure","susceptible","resistant","sample_size","val","se","variance","pathogen","abx_class","is_outlier"
10,"KHM",10,2012,"cambodia","459268",4,9,22,3,1,"continuous",20,0,20,0.02,0,0.00098,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2013,"cambodia","459269",4,9,22,3,1,"continuous",20,1,21,0.0476190476190476,0.0464714320451682,0.00215959399632869,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2014,"cambodia","459270",4,9,22,3,1,"continuous",21,1,22,0.0454545454545455,0.0444094736781088,0.00197220135236664,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2015,"cambodia","410487",4,9,22,3,1,"continuous",21.7536382248759,1.24636177512405,23,0.0541896423966978,0.0472058973165595,0.00222839674146156,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2016,"cambodia","459271",4,9,22,3,1,"continuous",10,0,10,0.02,0,0.00196,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2017,"cambodia","459272",4,9,22,3,1,"continuous",11,0,11,0.02,0,0.00178181818181818,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2017,"soar","489868",4,9,22,3,1,"continuous",44,4,48,0.0833333333333333,0.0398927961565141,0.00159143518518519,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2018,"cambodia","459273",4,9,22,3,1,"continuous",8,0,8,0.02,0,0.00245,"streptococcus_pneumoniae","penicillin",0
10,"KHM",10,2018,"glass","489826",4,9,22,3,1,"continuous",4,6,10,0.6,0.154919333848297,0.024,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,1999,"2-1428","2-1428",64,100,22,3,1,"continuous",276,74,350,0.211428571428571,0.0218257076869224,0.000476361516034985,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,1999,"CROSS","CROSS",64,100,22,3,1,"continuous",1333,0,1333,0.02,0,1.47036759189797e-05,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,2000,"2-13","2-13",64,100,22,3,1,"continuous",275,74,349,0.212034383954155,0.0218798361973078,0.000478727232021022,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,2000,"2-1428","2-1428",64,100,22,3,1,"continuous",421,93,514,0.180933852140078,0.0169800061694126,0.000288320609513288,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,2000,"CROSS","CROSS",64,100,22,3,1,"continuous",1593,0,1593,0.02,0,1.23038292529818e-05,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,2001,"2-1428","2-1428",64,100,22,3,1,"continuous",504,124,628,0.197452229299363,0.0158849790063433,0.000252332558031966,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,2001,"CROSS","CROSS",64,100,22,3,1,"continuous",1370,65,1435,0.0452961672473868,0.00548957989672861,3.01354874425669e-05,"streptococcus_pneumoniae","penicillin",0
101,"CAN",101,2002,"2-1428","2-1428",64,100,22,3,1,"continuous",531,109,640,0.1703125,0.0148590330451584,0.000220790863037109,"streptococcus_pneumoniae","penicillin",0
